City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
96,Nikolskoye,100,RU,2022-07-20 19:51:07,62,59.7035,30.7861,70.88,10.38
97,Tilichiki,6,RU,2022-07-20 19:51:08,51,60.4667,166.1,53.94,6.29
98,Athabasca,9,CA,2022-07-20 19:47:09,38,54.7169,-113.2854,72.01,13.71
99,Marzuq,100,YE,2022-07-20 19:51:08,55,14.4,46.4667,79.23,5.75
100,Castro,3,BR,2022-07-20 19:46:27,73,-24.7911,-50.0119,67.8,3.87
101,Peniche,0,PT,2022-07-20 19:51:09,83,39.3558,-9.3811,69.12,16.78
102,Vardo,100,NO,2022-07-20 19:51:09,94,70.3705,31.1107,53.58,0.0
103,Cidreira,0,BR,2022-07-20 19:51:10,88,-30.1811,-50.2056,62.29,14.74
104,Ixtapa,100,MX,2022-07-20 19:51:10,72,20.7,-105.2,89.22,5.99
105,Port Hardy,40,CA,2022-07-20 19:51:10,82,50.6996,-127.4199,59.18,5.75
106,San Patricio,1,US,2022-07-20 19:51:11,44,28.017,-97.5169,97.52,20.62
107,Rio Gallegos,0,AR,2022-07-20 19:47:38,56,-51.6226,-69.2181,37.45,32.21
108,Roanoke Rapids,40,US,2022-07-20 19:51:11,66,36.4615,-77.6542,94.01,6.91
109,Abong Mbang,100,CM,2022-07-20 19:51:12,96,3.9833,13.1833,67.96,2.84
110,Bajil,100,YE,2022-07-20 19:51:12,54,15.0584,43.2851,85.98,2.3
111,Hithadhoo,100,MV,2022-07-20 19:48:43,69,-0.6,73.0833,80.64,1.43
112,Morro Agudo,0,BR,2022-07-20 19:51:13,28,-20.7314,-48.0578,83.93,4.25
113,Hamilton,75,US,2022-07-20 19:48:12,63,39.1834,-84.5333,94.64,16.11
114,Paveh,0,IR,2022-07-20 19:51:13,17,35.0434,46.3565,77.85,3.87
115,Olinda,75,BR,2022-07-20 19:51:14,78,-8.0089,-34.8553,76.73,14.97
116,Provideniya,99,RU,2022-07-20 19:51:14,70,64.3833,-173.3,44.19,17.56
117,Upernavik,73,GL,2022-07-20 19:51:14,70,72.7868,-56.1549,48.2,9.91
118,Zhanakorgan,0,KZ,2022-07-20 19:51:15,17,43.9098,67.2495,90.05,8.25
119,Karratha,3,AU,2022-07-20 19:51:15,62,-20.7377,116.8463,66.6,4.79
120,Ostrovnoy,24,RU,2022-07-20 19:50:31,96,68.0531,39.5131,47.68,5.08
121,Shetpe,76,KZ,2022-07-20 19:51:16,55,44.1667,52.1167,76.73,18.77
122,Kinsale,75,IE,2022-07-20 19:51:16,63,51.7075,-8.5306,61.97,10.36
123,Tuktoyaktuk,100,CA,2022-07-20 19:46:29,82,69.4541,-133.0374,55.4,12.66
124,Lasa,55,IT,2022-07-20 19:50:05,85,46.6166,10.7002,72.48,3.33
125,Rath,100,IN,2022-07-20 19:51:17,71,25.5833,79.5667,86.31,4.36
126,Bodden Town,20,KY,2022-07-20 19:51:17,70,19.2833,-81.25,87.93,6.91
127,Mookane,99,BW,2022-07-20 19:51:18,57,-23.688,26.6595,59.18,7.23
128,Clyde River,100,CA,2022-07-20 19:47:41,100,70.4692,-68.5914,39.43,8.05
129,Carballo,49,ES,2022-07-20 19:51:18,85,43.213,-8.691,71.02,10.56
130,Bereda,30,ES,2022-07-20 19:51:18,96,43.2686,-7.5406,65.41,7.14
131,Satun,100,TH,2022-07-20 19:51:19,96,6.8333,100.0,77.0,1.97
132,Denpasar,40,ID,2022-07-20 19:46:57,88,-8.65,115.2167,76.71,6.91
133,Butaritari,45,KI,2022-07-20 19:51:19,79,3.0707,172.7902,81.28,9.66
134,Dunedin,100,NZ,2022-07-20 19:46:33,80,-45.8742,170.5036,42.8,18.99
135,Chernyshevskiy,100,RU,2022-07-20 19:48:59,95,63.0128,112.4714,51.55,2.84
136,Bredasdorp,1,ZA,2022-07-20 19:51:20,86,-34.5322,20.0403,46.6,5.19
137,Mar Del Plata,0,AR,2022-07-20 19:50:18,48,-38.0023,-57.5575,64.42,17.27
138,Touros,98,BR,2022-07-20 19:46:49,78,-5.1989,-35.4608,77.16,13.73
139,Aska,100,IN,2022-07-20 19:51:21,79,19.6061,84.6725,82.11,3.2
140,Sakakah,17,SA,2022-07-20 19:51:21,12,29.9697,40.2064,101.77,14.25
141,Blackfoot,1,US,2022-07-20 19:51:22,11,43.1905,-112.345,93.06,10.47
142,Dawlatabad,0,AF,2022-07-20 19:51:22,13,36.4141,64.9053,88.03,7.23
143,Srednekolymsk,100,RU,2022-07-20 19:51:22,74,67.45,153.6833,45.99,7.27
144,Naliya,98,IN,2022-07-20 19:51:23,83,23.2667,68.8333,82.08,15.52
145,Mao,0,ES,2022-07-20 19:51:23,74,39.8885,4.2658,81.16,8.05
146,Saint-Philippe,42,RE,2022-07-20 19:51:23,79,-21.3585,55.7679,65.79,14.52
147,Tjome,0,NO,2022-07-20 19:51:24,68,59.1109,10.3933,70.5,3.44
148,Umm Kaddadah,22,SD,2022-07-20 19:50:23,42,13.6017,26.6876,87.22,8.43
149,Santo Antonio Do Sudoeste,9,BR,2022-07-20 19:51:24,78,-26.0736,-53.7253,73.02,3.36
150,Port Victoria,16,KE,2022-07-20 19:51:25,62,0.0939,33.9756,70.9,2.57
151,Mikuni,86,JP,2022-07-20 19:51:25,83,36.2171,136.1519,71.51,3.18
152,Cartagena Del Chaira,100,CO,2022-07-20 19:51:25,99,1.3349,-74.8429,69.85,3.83
153,East London,93,ZA,2022-07-20 19:51:26,82,-33.0153,27.9116,62.58,4.83
154,Marystown,98,CA,2022-07-20 19:51:26,100,47.1666,-55.1483,67.86,8.01
155,Coahuayana,77,MX,2022-07-20 19:51:27,47,18.7333,-103.6833,95.9,6.4
156,Krasnyy Chikoy,84,RU,2022-07-20 19:51:27,93,50.3643,108.7512,52.03,2.17
157,La Peca,61,PE,2022-07-20 19:51:27,59,-5.6111,-78.435,78.78,4.83
158,Shaoyang,100,CN,2022-07-20 19:51:28,88,27.2315,111.4525,77.7,3.31
159,Kavieng,87,PG,2022-07-20 19:51:28,79,-2.5744,150.7967,81.14,10.65
160,Ahipara,70,NZ,2022-07-20 19:51:29,77,-35.1667,173.1667,53.96,17.72
161,Bambous Virieux,40,MU,2022-07-20 19:48:42,60,-20.3428,57.7575,71.85,18.41
162,Esqueda,50,MX,2022-07-20 19:51:29,28,30.7167,-109.5833,94.06,3.85
163,Mayumba,87,GA,2022-07-20 19:51:29,93,-3.432,10.6554,70.47,6.67
164,Lang Son,100,VN,2022-07-20 19:50:02,95,21.8333,106.7333,74.98,2.26
165,Verkhnevilyuysk,100,RU,2022-07-20 19:51:30,96,63.4453,120.3167,54.43,3.74
166,Miraflores,79,MX,2022-07-20 19:51:30,43,19.2167,-98.8083,79.03,0.83
167,Mehamn,20,NO,2022-07-20 19:51:31,94,71.0357,27.8492,55.35,0.0
168,Omboue,78,GA,2022-07-20 19:51:31,89,-1.5746,9.2618,72.01,7.31
169,Ilulissat,75,GL,2022-07-20 19:47:45,39,69.2167,-51.1,60.82,14.97
170,Airai,84,TL,2022-07-20 19:48:41,94,-8.9266,125.4092,56.7,3.53
171,Rosarito,69,MX,2022-07-20 19:50:11,61,32.3333,-117.0333,92.41,8.61
172,Sambava,43,MG,2022-07-20 19:51:32,84,-14.2667,50.1667,69.08,14.88
173,Belmonte,3,BR,2022-07-20 19:51:32,74,-15.8631,-38.8828,74.28,9.62
174,Praya,75,CV,2022-07-20 19:50:15,83,14.9215,-23.5087,79.34,8.05
175,Chokurdakh,83,RU,2022-07-20 19:48:40,74,70.6333,147.9167,42.4,8.88
176,Fairbanks,75,US,2022-07-20 19:47:35,65,64.8378,-147.7164,63.09,5.75
177,Ust-Tsilma,32,RU,2022-07-20 19:51:33,70,65.441,52.1498,61.97,5.3
178,Minsk,2,BY,2022-07-20 19:49:10,83,53.9,27.5667,56.95,9.62
179,Batagay,88,RU,2022-07-20 19:51:34,76,67.6333,134.6333,44.04,3.44
180,Trincomalee,33,LK,2022-07-20 19:51:34,84,8.5711,81.2335,79.77,13.56
181,Planeta Rica,100,CO,2022-07-20 19:51:35,74,8.4147,-75.5883,86.47,6.13
182,Hasaki,99,JP,2022-07-20 19:51:35,84,35.7333,140.8333,75.6,8.41
183,Bundaberg,100,AU,2022-07-20 19:51:36,88,-24.85,152.35,59.22,5.99
184,Kushmurun,0,KZ,2022-07-20 19:51:36,71,52.4503,64.6311,66.16,7.0
185,Bonnyville,35,CA,2022-07-20 19:51:36,45,54.2668,-110.735,73.2,16.69
186,Sorland,97,NO,2022-07-20 19:51:37,88,67.667,12.6934,54.54,22.97
187,Nelson Bay,71,AU,2022-07-20 19:51:37,76,-32.7167,152.15,61.0,11.99
188,Zharkent,0,KZ,2022-07-20 19:51:37,30,44.1628,80.0,69.39,5.66
189,Norden,23,DE,2022-07-20 19:51:38,82,53.6,7.2,71.58,12.03
190,Juneau,100,US,2022-07-20 19:49:40,95,58.3019,-134.4197,53.22,18.41
191,Mpophomeni,81,ZA,2022-07-20 19:51:38,91,-29.5682,30.1862,51.58,2.08
192,Sao Joao Da Barra,17,BR,2022-07-20 19:51:38,79,-21.6403,-41.0511,77.09,12.75
193,Lata,0,PT,2022-07-20 19:51:39,72,40.1629,-8.3327,66.29,3.56
194,Port Hedland,0,AU,2022-07-20 19:47:35,76,-20.3167,118.5667,55.45,6.91
195,Palmer,58,US,2022-07-20 19:51:39,45,42.1584,-72.3287,95.22,2.62
196,Thompson,40,CA,2022-07-20 19:51:40,60,55.7435,-97.8558,71.76,12.66
197,Cap Malheureux,96,MU,2022-07-20 19:51:40,63,-19.9842,57.6142,70.47,7.0
198,Mega,56,ET,2022-07-20 19:51:40,79,4.05,38.3,57.42,14.79
199,Richards Bay,9,ZA,2022-07-20 19:51:36,88,-28.783,32.0377,63.97,6.8
200,Georgetown,20,MY,2022-07-20 19:50:11,90,5.4112,100.3354,81.9,0.0
201,Khatanga,100,RU,2022-07-20 19:48:33,65,71.9667,102.5,45.64,21.32
202,Lovozero,5,RU,2022-07-20 19:51:41,81,68.005,35.0117,56.46,6.76
